Audit_Action,time_segment_key,myemployee_key,Duration,start_day,start_time
Change,490598,10418,8.75000,0.5,0.98078525
Change,490597,10418,8.75000,0.8660254,0.98078525
Change,490596,10418,8.75000,0.5,0.98078525
Change,490595,10418,8.75000,1.0,0.98078525
Change,490244,10418,8.75000,1.0,0.98078525
Change,490243,10418,8.75000,0.0,0.98078525
Change,490242,10418,8.75000,1.0,0.98078525
Change,490241,10418,8.75000,0.5,0.98078525
Change,490240,10418,8.75000,0.5,0.98078525
Change,489874,10418,8.75000,0.5,0.98078525
Change,489873,10418,8.75000,1.2246469E-16,0.98078525
Change,489872,10418,8.75000,0.8660254,0.98078525
Change,489871,10418,8.75000,0.5,0.98078525
Change,489870,10418,8.75000,0.0,0.98078525
Change,489529,10418,8.75000,0.5,0.98078525
Change,489528,10418,8.75000,0.8660254,0.98078525
Change,487760,10418,8.75000,0.8660254,0.98078525
Change,487759,10418,8.75000,1.2246469E-16,0.98078525
Change,487758,10418,8.75000,1.0,0.98078525
Change,485635,10418,8.75000,0.8660254,0.98078525
Change,485634,10418,8.75000,0.8660254,0.98078525
Change,485633,10418,8.75000,1.2246469E-16,0.98078525
Change,485632,10418,8.75000,0.8660254,0.98078525
Change,485631,10418,8.75000,0.5,0.98078525
Change,485223,10418,8.75000,1.0,0.98078525
Change,484975,10418,8.75000,0.0,0.98078525
Change,484974,10418,8.75000,0.8660254,0.98078525
Change,484973,10418,8.75000,0.8660254,0.98078525
Change,484972,10418,8.75000,1.2246469E-16,0.98078525
Change,483779,10418,8.75000,0.5,0.98078525
Change,483778,10418,8.75000,0.8660254,0.98078525
Change,483777,10418,8.75000,0.5,0.98078525
Change,483737,10418,8.75000,0.8660254,0.98078525
Change,483736,10418,8.75000,0.0,0.98078525
Change,483180,10418,8.75000,1.2246469E-16,0.98078525
Add,667970,10418,8.75000,1.2246469E-16,0.98078525
Add,667969,10418,8.75000,1.0,0.98078525
Add,667968,10418,8.75000,0.5,0.98078525
Add,667967,10418,8.75000,0.5,0.98078525
Add,667966,10418,8.75000,1.0,0.98078525
Add,667965,10417,8.00000,1.2246469E-16,0.98078525
Add,667964,10417,8.00000,1.0,0.98078525
Add,667963,10417,8.00000,0.5,0.98078525
Add,667962,10417,8.00000,0.5,0.98078525
Add,667961,10417,8.00000,1.0,0.98078525
Add,669505,10418,8.75000,0.0,0.98078525
Add,669504,10418,8.75000,0.8660254,0.98078525
Add,669503,10418,8.75000,0.8660254,0.98078525
Add,669502,10418,8.75000,1.2246469E-16,0.98078525
Add,669501,10418,8.75000,0.5,0.98078525
Add,669500,10417,8.00000,0.0,0.98078525
Add,669499,10417,8.00000,0.8660254,0.98078525
Add,669498,10417,8.00000,0.8660254,0.98078525
Add,669497,10417,8.00000,1.2246469E-16,0.98078525
Add,669496,10417,8.00000,0.5,0.98078525
Add,670117,10418,8.75000,0.8660254,0.98078525
Add,670116,10418,8.75000,0.5,0.98078525
Add,670115,10418,8.75000,1.2246469E-16,0.98078525
Add,670114,10418,8.75000,1.0,0.98078525
Add,670113,10418,8.75000,0.5,0.98078525
Add,670112,10417,8.00000,0.8660254,0.98078525
Add,670111,10417,8.00000,0.5,0.98078525
Add,670110,10417,8.00000,1.2246469E-16,0.98078525
Add,670109,10417,8.00000,1.0,0.98078525
Add,670108,10417,8.00000,0.5,0.98078525
Add,670819,10418,8.75000,0.5,0.98078525
Add,670818,10418,8.75000,0.5,0.98078525
Add,670817,10418,8.75000,0.5,0.98078525
Add,670816,10418,8.75000,0.8660254,0.98078525
Add,670815,10418,8.75000,0.0,0.98078525
Add,670814,10417,8.00000,0.5,0.98078525
Add,670813,10417,8.00000,0.5,0.98078525
Add,670812,10417,8.00000,0.5,0.98078525
Add,670811,10417,8.00000,0.8660254,0.98078525
Add,670810,10417,8.00000,0.0,0.98078525
Change,483177,10417,8.00000,0.8660254,0.98078525
Change,483176,10417,8.00000,0.0,0.98078525
Change,483175,10417,8.00000,0.8660254,0.98078525
Change,483174,10417,8.00000,0.8660254,0.98078525
Change,483173,10417,8.00000,1.2246469E-16,0.98078525
Change,649092,10418,3.25000,1.2246469E-16,0.8314696
Change,649091,10418,5.00000,1.2246469E-16,0.9238795
Change,649090,10418,3.75000,1.0,0.9659258
Change,649089,10418,8.50000,0.0,0.9238795
Change,649088,10418,8.50000,0.5,0.9238795
Change,649087,10418,6.50000,0.8660254,0.9238795
Change,628977,10418,8.75000,1.2246469E-16,0.98078525
Change,628976,10418,8.75000,1.0,0.98078525
Change,628975,10418,8.75000,0.5,0.98078525
Change,628974,10418,8.75000,0.5,0.98078525
Change,628973,10418,8.75000,0.5,0.98078525
Change,617880,10418,8.75000,0.8660254,0.98078525
Change,617879,10418,8.75000,0.5,0.98078525
Change,617878,10418,8.75000,0.5,0.98078525
Change,617877,10418,8.75000,1.0,0.98078525
Change,617876,10418,8.75000,0.0,0.98078525
Change,617509,10418,8.75000,0.8660254,0.98078525
Change,617508,10418,8.75000,0.5,0.98078525
Change,617507,10418,8.75000,1.2246469E-16,0.98078525
Change,617506,10418,8.75000,1.0,0.98078525
Change,617505,10418,8.75000,0.0,0.98078525
Change,617073,10418,8.75000,0.0,0.98078525
Change,617072,10418,8.75000,0.8660254,0.98078525
Change,617071,10418,8.75000,1.0,0.98078525
Change,617070,10418,8.75000,0.8660254,0.98078525
Change,617069,10418,8.75000,0.5,0.98078525
Change,616808,10418,8.75000,0.5,0.98078525
Change,616807,10418,8.75000,0.5,0.98078525
Change,616570,10418,8.75000,0.0,0.98078525
Change,616569,10418,8.75000,0.5,0.98078525
Change,616568,10418,8.75000,0.8660254,0.98078525
Change,613192,10418,8.75000,0.5,0.98078525
Change,613191,10418,8.75000,0.8660254,0.98078525
Change,613190,10418,8.75000,1.2246469E-16,0.98078525
Change,613189,10418,8.75000,1.2246469E-16,0.98078525
Change,613188,10418,5.00000,1.0,0.98078525
Change,602454,10418,8.75000,1.0,0.98078525
Change,602453,10418,8.75000,0.0,0.98078525
Change,602452,10418,8.75000,0.5,0.98078525
Change,602451,10418,8.75000,0.8660254,0.98078525
Change,602450,10418,8.75000,1.2246469E-16,0.98078525
Change,602096,10418,8.75000,0.0,0.98078525
Change,602095,10418,8.75000,0.8660254,0.98078525
Change,602094,10418,8.75000,0.8660254,0.98078525
Change,597851,10418,8.75000,1.2246469E-16,0.98078525
Change,597850,10418,8.75000,0.8660254,0.98078525
Change,597849,10418,8.75000,0.5,0.98078525
Change,597848,10418,8.75000,1.2246469E-16,0.98078525
Change,597847,10418,8.75000,1.0,0.98078525
Change,597603,10418,8.75000,0.5,0.98078525
